Time,x_0
1.485,0.4539904997395476
1.486,0.425779291565072
1.487,0.3971478906347785
1.488,0.368124552684681
1.489,0.338737920245293
1.49,0.3090169943749475
1.491,0.2789911060392278
1.492,0.2486898871648586
1.493,0.2181432413965379
1.494,0.1873813145857254
1.495,0.15643446504023
1.496,0.1253332335643089
1.497,0.0941083133185103
1.498,0.0627905195293148
1.499,0.0314107590781281
1.5,5.3896838775215305e-15
1.501,-0.0314107590781316
1.502,-0.0627905195293112
1.503,-0.0941083133185137
1.504,-0.1253332335643052
1.505,-0.1564344650402334
1.506,-0.1873813145857218
1.507,-0.2181432413965413
1.508,-0.2486898871648551
1.509,-0.2789911060392311
1.51,-0.309016994374944
1.511,-0.3387379202452962
1.512,-0.3681245526846776
1.513,-0.3971478906347817
1.514,-0.4257792915650687
1.515,-0.4539904997395507
1.516,-0.4817536741017142
1.517,-0.5090414157503715
1.518,-0.5358267949789982
1.519,-0.5620833778521335
1.52,-0.5877852522924715
1.521,-0.6129070536529762
1.522,-0.6374239897486906
1.523,-0.661311865323654
1.524,-0.6845471059286867
1.525,-0.7071067811865468
1.526,-0.728968627421412
1.527,-0.7501110696304611
1.528,-0.7705132427757873
1.529,-0.7901550123756937
1.53,-0.8090169943749475
1.531,-0.8270805742745627
1.532,-0.844327925502013
1.533,-0.860742027003946
1.534,-0.8763066800438631
1.535,-0.8910065241883681
1.536,-0.9048270524660204
1.537,-0.9177546256839798
1.538,-0.9297764858882508
1.539,-0.9408807689542232
1.54,-0.9510565162951542
1.541,-0.9602936856769422
1.542,-0.9685831611286309
1.543,-0.9759167619387474
1.544,-0.9822872507286888
1.545,-0.987688340595137
1.546,-0.9921147013144772
1.547,-0.9955619646030798
1.548,-0.9980267284282716
1.549,-0.9995065603657316
1.55,-1.0
1.551,-0.9995065603657318
1.552,-0.9980267284282716
1.553,-0.9955619646030806
1.554,-0.9921147013144774
1.555,-0.987688340595138
1.556,-0.9822872507286888
1.557,-0.975916761938749
1.558,-0.9685831611286309
1.559,-0.9602936856769444
1.56,-0.9510565162951542
1.561,-0.9408807689542256
1.562,-0.9297764858882508
1.563,-0.9177546256839828
1.564,-0.9048270524660204
1.565,-0.8910065241883682
1.566,-0.8763066800438633
1.567,-0.8607420270039461
1.568,-0.8443279255020169
1.569,-0.8270805742745629
1.57,-0.8090169943749477
1.571,-0.790155012375694
1.572,-0.7705132427757875
1.573,-0.7501110696304613
1.574,-0.7289686274214122
1.575,-0.7071067811865521
1.576,-0.6845471059286871
1.577,-0.6613118653236543
1.578,-0.637423989748691
1.579,-0.6129070536529765
1.58,-0.5877852522924718
1.581,-0.5620833778521338
1.582,-0.5358267949789985
1.583,-0.5090414157503719
1.584,-0.4817536741017145
